FID,Species ID,Tree ID,Scientific name,Common name,DBH (in.),lat,long
,,1,Metasequoia glyptostroboides,dawn redwood,32.7,35.310681,-83.182763
,,2,Metasequoia glyptostroboides,dawn redwood,35.4,35.31068101,-83.18276299
,,3,Betula alleghaniensis,yellow birch,12.3,35.31068102,-83.18276298
,,4,Betula alleghaniensis,yellow birch,9.3,35.31068103,-83.18276297
,,5,Betula alleghaniensis,yellow birch,13.2,35.31068104,-83.18276296
,,6,Vitex angus-castus,chaste tree,5,35.31068105,-83.18276295
,,7,Tsuga canadensis,eastern hemlock,10.5,35.31068106,-83.18276294
,,8,Thuja occidentalis,arborvitae,13.1,35.31068107,-83.18276293
,,9,Malus sp.,crabapple sp.,10.4,35.31068108,-83.18276292
,,10,Malus sp.,crabapple sp.,11.5,35.31068109,-83.18276291
,,11,Ginkgo biloba,ginkgo,17.1,35.3106811,-83.1827629
,,12,Chamaecyparis thyoides,Atlantic white-cedar,20.9,35.31068111,-83.18276289
,,13,Quercus falcata,southern red oak,37.7,35.31068112,-83.18276288
,,14,Pinus strobus,eastern white pine,36.5,35.31068113,-83.18276287
,,15,Quercus acutissima,sawtooth oak,11.6,35.31068114,-83.18276286
,,16,Quercus phellos,willow oak,29.9,35.31068115,-83.18276285
,,17,Quercus falcata,southern red oak,47.5,35.31068116,-83.18276284
,,18,Quercus falcata,southern red oak,40.6,35.31068117,-83.18276283
,,19,Betula nigra,river birch,11.7,35.31068118,-83.18276282
,,20,Quercus acutissima,sawtooth oak,11.7,35.31068119,-83.18276281
,,21,Acer buergeranium,trident maple,11.2,35.3106812,-83.1827628
,,22,Acer buergeranium,trident maple,13.7,35.31068121,-83.18276279
,,23,Acer buergeranium,trident maple,9.7,35.31068122,-83.18276278
,,24,Quercus coccinea,scarlet oak,25.2,35.31068123,-83.18276277
,,25,Quercus falcata,southern red oak,37.3,35.31068124,-83.18276276
,,26,Quercus falcata,southern red oak,33.9,35.31068125,-83.18276275
,,27,Acer saccharum,sugar maple,32.6,35.31068126,-83.18276274
,,28,Acer saccharum,sugar maple,27.2,35.31068127,-83.18276273
,,29,Quercus falcata,southern red oak,27.4,35.31068128,-83.18276272
,,30,Quercus coccinea,scarlet oak,32.6,35.31068129,-83.18276271
,,31,Acer platanoides,Norway Maple,36.7,35.3106813,-83.1827627
